#,Name,Start,End,Length
R1,1-1,0:00.000,0:15.423,0:15.423
R2,1-2,0:15.423,0:34.991,0:19.568
R3,2-1,0:34.991,0:51.374,0:16.382
R4,2-2,0:51.374,0:58.254,0:06.880
R5,2-3,0:58.254,1:03.135,0:04.881
R6,2-4,1:03.135,1:08.015,0:04.880
R7,3-1,1:08.015,1:13.070,0:05.054
R8,3-2,1:13.070,1:18.206,0:05.136
R9,3-3,1:18.206,1:23.263,0:05.057
R10,3-4,1:23.263,1:28.286,0:05.022
R11,4-1,1:28.286,1:31.611,0:03.324
R25,4-2,1:31.611,1:36.958,0:05.347
R12,4-3,1:36.958,1:42.095,0:05.137
R13,4-4,1:42.095,1:46.658,0:04.562
R26,5-1,1:46.658,1:51.198,0:04.540
R14,5-2,1:51.198,1:55.838,0:04.640
R15,5-3,1:55.838,2:00.463,0:04.625
R16,5-4,2:00.463,2:03.470,0:03.006
R27,6-1,2:03.470,2:07.951,0:04.481
R17,6-2,2:07.951,2:12.198,0:04.246
R28,6-3,2:12.198,2:15.150,0:02.952
R18,6-4,2:15.150,2:18.062,0:02.911
R29,7-1,2:18.062,2:23.966,0:05.904
R19,7-2,2:23.966,2:27.635,0:03.668
R30,8-1,2:27.635,2:31.182,0:03.547
R20,8-2,2:31.182,2:36.638,0:05.456
R21,9-1,2:36.638,2:41.982,0:05.344
R22,9-2,2:41.982,2:45.563,0:03.580
R31,10-1,2:45.563,2:50.894,0:05.331
R23,10-2,2:50.894,2:55.982,0:05.088
R24,11-1,2:55.982,3:04.462,0:08.480
