#,Name,Start,End,Length
R0,1-1,0:00.000,0:14.371,0:14.371
R1,2-1,0:14.371,0:31.656,0:17.284
R2,2-2,0:31.656,0:46.158,0:14.502
R3,3-1,0:46.158,1:03.259,0:17.101
R4,3-2,1:03.259,1:20.996,0:17.737
R5,4-1,1:20.996,1:38.844,0:17.847
R6,4-2,1:38.844,1:56.809,0:17.964
R7,5-1,1:56.809,2:11.576,0:14.767
R8,5-2,2:11.576,2:33.462,0:21.885
M1,odi i pianti,0:45.000,,
M1,ed ascolta,1:19.500,,
M1,come quando,1:49.500,,
