#,Name,Start,End,Length
R0,1-1,0:00.000,0:08.063,0:08.063
R1,2-1,0:08.063,0:19.935,0:11.871
R2,2-2,0:19.935,0:31.017,0:11.082
R3,3-1,0:31.017,0:35.516,0:04.499
