#,Name,Start,End,Length
M1,Et marchons,0:30.679,,
M2,Jéhovah,0:49.664,,
R1,1-1,0:00.000,0:04.655,0:04.655
R2,2-1,0:04.655,0:13.519,0:08.864
R3,2-2,0:13.519,0:18.478,0:04.959
R4,3-1,0:18.478,0:25.650,0:07.171
R5,3-2,0:25.650,0:30.679,0:05.029
R6,4-1,0:30.679,0:35.794,0:05.114
R7,4-2,0:35.794,0:39.234,0:03.440
R8,5-1,0:39.234,0:44.530,0:05.296
R9,5-2,0:44.530,0:49.664,0:05.134
R10,6-1,0:49.664,0:54.861,0:05.197
R11,6-2,0:54.861,0:58.446,0:03.585
R12,7-1,0:58.446,1:01.943,0:03.496
R13,7-2,1:01.943,1:07.480,0:05.537
