#,Name,Start,End,Length
R1,1-1,0:00.000,0:06.270,0:06.270
R2,2-1,0:06.270,0:15.599,0:09.329
R3,2-2,0:15.599,0:18.879,0:03.280
R4,2-1,0:18.879,0:28.575,0:09.696
R5,2-2,0:28.575,0:38.645,0:10.070
R6,3-1,0:38.645,0:48.325,0:09.680
R7,3-2,0:48.325,0:57.989,0:09.664
R8,2-2,0:57.989,1:04.769,0:06.780
R9,3-1,1:04.769,1:14.625,0:09.855
R10,3-2,1:14.625,1:27.458,0:12.832
