#,Name,Start,End,Length
M1,,0:06.427,,
M2,,0:56.673,,
M3,,1:57.325,,
R1,1-1,0:00.000,0:08.882,0:08.882
R2,1-2,0:08.882,0:13.610,0:04.728
R3,1-3,0:13.610,0:20.867,0:07.257
R4,1-4,0:20.867,0:25.482,0:04.614
R5,2-1,0:25.482,0:32.522,0:07.040
R6,2-2,0:32.522,0:37.274,0:04.752
R7,2-3,0:37.274,0:44.594,0:07.320
R8,2-4,0:44.594,0:49.498,0:04.904
R9,3-1,0:49.498,0:54.218,0:04.720
R10,3-2,0:54.218,0:59.136,0:04.917
R11,3-3,0:59.136,1:04.090,0:04.954
R12,3-4,1:04.090,1:08.796,0:04.706
R13,4-1,1:08.796,1:13.522,0:04.725
R14,4-2,1:13.522,1:18.243,0:04.720
R15,4-3,1:18.243,1:22.951,0:04.708
R16,5-1,1:22.951,1:33.417,0:10.465
R17,5-2,1:33.417,1:39.762,0:06.345
R18,5-3,1:39.762,1:45.793,0:06.030
R19,5-4,1:45.793,1:51.897,0:06.104
R20,5-5,1:51.897,1:58.007,0:06.110
R21,6-1,1:58.007,2:04.321,0:06.313
R22,6-2,2:04.321,2:07.849,0:03.528
