#,Name,Start,End,Length
R0,1-1,0:00.000,0:04.009,0:04.009
R1,1-2,0:04.009,0:08.457,0:04.448
R2,2-1,0:08.457,0:14.825,0:06.368
R3,2-2,0:14.825,0:20.985,0:06.160
R4,2-3,0:20.985,0:26.889,0:05.904
R5,2-4,0:26.889,0:32.951,0:06.062
R6,3-1,0:32.951,0:39.239,0:06.288
R7,3-2,0:39.239,0:45.655,0:06.416
R8,3-3,0:45.655,0:52.679,0:07.024
R9,3-4,0:52.679,0:56.793,0:04.113
R10,4-1,0:56.793,1:05.623,0:08.830
R11,4-2,1:05.623,1:10.663,0:05.040
R12,5-1,1:10.663,1:17.719,0:07.056
R13,5-2,1:17.719,1:22.698,0:04.978
R14,6-1,1:22.698,1:27.863,0:05.165
R15,6-2,1:27.863,1:31.383,0:03.520
R16,7-1,1:31.383,1:36.647,0:05.264
R17,7-2,1:36.647,1:41.753,0:05.105
R18,8-1,1:41.753,1:47.143,0:05.390
R19,8-2,1:47.143,1:50.551,0:03.408
R20,9-1,1:50.551,1:54.119,0:03.568
R21,9-2,1:54.119,1:59.383,0:05.264
R22,10-1,1:59.383,2:04.656,0:05.272
