#,Name,Start,End,Length
R1,1-1,0:00.000,0:05.460,0:05.460
R2,1-2,0:05.460,0:10.876,0:05.415
M1,repeat,0:10.638,,
R3,1-1,0:10.876,0:16.390,0:05.513
R4,1-2,0:16.390,0:22.147,0:05.757
