#,Name,Start,End,Length
M1,,1:00.565,,
M2,,1:43.915,,
M3,,2:17.500,,
R1, 1-1,0:00.000,0:12.027,0:12.027
R2, 1-2,0:12.027,0:21.547,0:09.520
R3, 1-3,0:21.547,0:29.979,0:08.432
R4, 1-4,0:29.979,0:39.499,0:09.520
R5, 1-5,0:39.499,0:49.247,0:09.748
R6, 2-1,0:49.247,1:00.565,0:11.317
R7, 2-2,1:00.565,1:10.379,0:09.814
R8, 2-3,1:10.379,1:19.989,0:09.609
R9, 2-4,1:19.989,1:29.597,0:09.608
R10,2-5,1:29.597,1:36.790,0:07.193
R11,2-6,1:36.790,1:43.915,0:07.125
R12,3-1,1:43.915,1:51.098,0:07.182
R13,3-2,1:51.098,1:56.898,0:05.800
R14,3-3,1:56.898,2:03.597,0:06.698
R15,3-4,2:03.597,2:14.337,0:10.739
R16,3-5,2:14.337,2:23.994,0:09.657
R17,3-6,2:23.994,2:34.719,0:10.725
R18,4-1,2:34.719,2:42.668,0:07.949
R19,4-2,2:42.668,2:48.620,0:05.951
R20,4-3,2:48.620,2:54.335,0:05.715
R21,4-4,2:54.335,3:04.719,0:10.384
R22,4-5,3:04.719,3:16.847,0:12.128
R23,4-6,3:16.847,3:35.444,0:18.597
