#,Name,Start,End,Length
M1,,1:00.565,,
M2,,1:43.915,,
M3,,2:30.019,,
R1, 1-1,0:00.000,0:12.027,0:12.027
R2, 1-2,0:12.027,0:21.547,0:09.520
R3, 1-3,0:21.547,0:29.979,0:08.432
R4, 1-4,0:29.979,0:39.499,0:09.520
R5, 1-5,0:39.499,0:49.247,0:09.748
R6, 2-1,0:49.247,1:00.565,0:11.317
R7, 2-2,1:00.565,1:09.163,0:08.598
R8, 2-3,1:09.163,1:17.467,0:08.304
R9, 2-4,1:17.467,1:25.947,0:08.480
R10,2-5,1:25.947,1:35.579,0:09.632
R11,2-6,1:35.579,1:43.915,0:08.336
R12,3-1,1:43.915,1:51.098,0:07.182
R13,3-2,1:51.098,1:56.898,0:05.800
R14,3-3,1:56.898,2:04.810,0:07.912
R15,3-4,2:04.810,2:15.423,0:10.612
R16,3-5,2:15.423,2:25.215,0:09.792
R17,3-6,2:25.215,2:34.719,0:09.504
R18,4-1,2:34.719,2:41.727,0:07.008
R19,4-2,2:41.727,2:46.511,0:04.784
R20,4-3,2:46.511,2:54.335,0:07.824
R21,4-4,2:54.335,3:04.719,0:10.384
R22,4-5,3:04.719,3:16.847,0:12.128
R23,4-6,3:16.847,3:35.444,0:18.597
