#,Name,Start,End,Length
M1,10. Maestoso,0:00.000,,
M2,Andante,2:10.555,,
M3,11. Deh placatevi,3:52.667,,
M4,12. Misero giovane,6:02.089,,
M5,Men tiranne,8:34.168,,
