#,Name,Start,End,Length
M1,,0:14.489,,
M2,,0:32.295,,
M3,,0:43.672,,
M4,,1:15.252,,
R0,1-1,0:00.000,0:05.552,0:05.552
R1,1-2,0:05.552,0:10.046,0:04.494
R2,1-3,0:10.046,0:14.489,0:04.443
R3,2-1,0:14.489,0:18.954,0:04.464
R4,2-2,0:18.954,0:23.400,0:04.446
R5,2-3,0:23.400,0:27.867,0:04.466
R6,3-1,0:27.867,0:31.198,0:03.331
R7,3-2,0:31.198,0:35.695,0:04.496
R8,4-1,0:35.695,0:40.263,0:04.568
R9,4-2,0:40.263,0:43.672,0:03.409
R10,5-1,0:43.672,0:47.011,0:03.338
R11,5-2,0:47.011,0:52.696,0:05.685
R12,5-3,0:52.696,0:58.322,0:05.625
R13,6-1,0:58.322,1:04.051,0:05.728
R14,6-2,1:04.051,1:07.481,0:03.429
R15,6-3,1:07.481,1:10.816,0:03.335
R16,6-4,1:10.816,1:15.252,0:04.435
R17,7-1,1:15.252,1:20.812,0:05.560
R18,7-2,1:20.812,1:26.555,0:05.743
R19,7-3,1:26.555,1:30.026,0:03.471
R20,8-1,1:30.026,1:34.612,0:04.585
R21,8-2,1:34.612,1:42.443,0:07.830
