#,Name,Start,End,Length
R0,1-1,0:00.000,0:09.592,0:09.592
R3,1-2,0:09.592,0:25.170,0:15.578
R1,2-1,0:25.170,0:39.841,0:14.670
R2,2-2,0:39.841,0:53.804,0:13.963
R4,3-1,0:53.804,1:08.380,0:14.575
R5,3-2,1:08.380,1:17.609,0:09.229
R6,4-1,1:17.609,1:31.796,0:14.187
R7,4-2,1:31.796,1:45.889,0:14.093
R8,5-1,1:45.889,2:00.032,0:14.142
R9,5-2,2:00.032,2:14.593,0:14.561
R10,6-1,2:14.593,2:28.209,0:13.615
R11,6-2,2:28.209,2:41.936,0:13.727
R12,7-1,2:41.936,2:57.538,0:15.601
R13,7-2,2:57.538,3:11.072,0:13.534
R14,8-1,3:11.072,3:33.936,0:22.863
