#,Name,Start,End,Length
R0,1-1,0:00.000,0:10.329,0:10.329
R1,1-2,0:10.329,0:17.440,0:07.110
R2,2-1,0:17.440,0:24.958,0:07.518
R3,2-2,0:24.958,0:30.833,0:05.874
