#,Name,Start,End,Length
R1,1-1,0:00.000,0:13.760,0:13.760
R2,1-2,0:13.760,0:21.520,0:07.760
R3,1-3,0:21.520,0:26.958,0:05.438
R4,1-4,0:26.958,0:32.990,0:06.032
R5,2-1,0:32.990,0:38.862,0:05.872
R6,2-2,0:38.862,0:44.622,0:05.760
R7,2-3,0:44.622,0:50.576,0:05.953
R8,2-4,0:50.576,0:58.512,0:07.936
R9,3-1,0:58.512,1:02.464,0:03.952
R10,3-2,1:02.464,1:06.078,0:03.614
R11,4-1,1:06.078,1:12.016,0:05.937
R12,4-2,1:12.016,1:30.736,0:18.720
R13,5-1,1:30.736,1:50.062,0:19.326
R14,5-2,1:50.062,2:06.718,0:16.656
R15,5-3,2:06.718,2:09.631,0:02.912
