#,Name,Start,End,Length
R1,1-1,0:00.000,0:24.240,0:24.240
R2,1-2,0:24.240,0:28.023,0:03.783
R3,1-3,0:28.023,0:32.983,0:04.960
R4,2-1,0:32.983,0:38.183,0:05.200
R5,2-2,0:38.183,0:43.399,0:05.216
R6,3-1,0:43.399,0:48.713,0:05.313
R7,3-2,0:48.713,0:54.007,0:05.294
R8,4-1,0:54.007,0:56.389,0:02.382
R9,4-2,0:56.389,1:01.712,0:05.322
R10,5-1,1:01.712,1:07.200,0:05.488
R11,5-2,1:07.200,1:11.920,0:04.720
R12,5-3,1:11.920,1:17.280,0:05.360
R13,5-4,1:17.280,1:23.034,0:05.754
R14,6-1,1:23.034,1:28.467,0:05.433
R15,6-2,1:28.467,1:33.892,0:05.425
R16,6-3,1:33.892,1:39.268,0:05.376
R17,6-4,1:39.268,1:46.595,0:07.326
R18,7-1,1:46.595,1:52.516,0:05.921
R19,7-2,1:52.516,2:02.612,0:10.096
R20,7-3,2:02.612,2:13.476,0:10.864
R21,7-4,2:13.476,2:23.236,0:09.759
R22,8-1,2:23.236,2:25.993,0:02.756
R23,8-2,2:25.993,2:28.683,0:02.690
R24,8-3,2:28.683,2:31.721,0:03.037
R25,8-4,2:31.721,2:38.880,0:07.159
