#,Name,Start,End,Length
R0,1-1,0:00.000,0:09.396,0:09.396
R1,1-2,0:09.396,0:16.902,0:07.506
R2,2-1,0:16.902,0:22.529,0:05.626
R3,2-2,0:22.529,0:30.078,0:07.549
R4,3-1,0:30.078,0:35.658,0:05.580
R5,3-2,0:35.658,0:41.194,0:05.536
R6,4-1,0:41.194,0:46.708,0:05.513
R7,4-2,0:46.708,0:52.288,0:05.580
R8,5-1,0:52.288,0:59.552,0:07.263
R9,5-2,0:59.552,1:06.616,0:07.063
R10,6-1,1:06.616,1:13.855,0:07.239
R11,6-2,1:13.855,1:21.076,0:07.220
R12,7-1,1:21.076,1:27.783,0:06.707
R13,7-2,1:27.783,1:36.597,0:08.813
R14,8-1,1:36.597,1:43.794,0:07.196
R15,8-2,1:43.794,1:51.965,0:08.171
R16,9-1,1:51.965,2:02.945,0:10.980
R17,9-2,2:02.945,2:13.267,0:10.321
R18,9-3,2:13.267,2:27.415,0:14.148
