#,Name,Start,End,Length
R1,1-1,0:00.000,0:03.361,0:03.361
R2,1-2,0:03.361,0:08.993,0:05.632
R3,1-3,0:08.993,0:14.561,0:05.568
R4,2-1,0:14.561,0:20.097,0:05.536
R5,2-2,0:20.097,0:25.601,0:05.504
R6,2-3,0:25.601,0:31.214,0:05.613
R7,3-1,0:31.214,0:35.714,0:04.499
R8,3-2,0:35.714,0:37.581,0:01.867
