#,Name,Start,End,Length
R1,1-1,0:00.000,0:12.022,0:12.022
R2,1-2,0:12.022,0:21.627,0:09.604
R3,2-1,0:21.627,0:33.627,0:12.000
R4,2-2,0:33.627,0:45.610,0:11.982
R5,3-1,0:45.610,0:55.224,0:09.614
R6,3-2,0:55.224,1:04.858,0:09.633
R7,4-1,1:04.858,1:14.394,0:09.536
R8,4-2,1:14.394,1:24.025,0:09.631
R9,5-1,1:24.025,1:36.028,0:12.003
R10,5-2,1:36.028,1:47.442,0:11.413
