#,Name,Start,End,Length
R0,1-1,0:00.000,0:13.754,0:13.754
R1,2-1,0:13.754,0:23.473,0:09.719
R2,2-2,0:23.473,0:33.417,0:09.943
R3,2-3,0:33.417,0:43.361,0:09.943
R4,2-4,0:43.361,0:50.830,0:07.469
R5,3-1,0:50.830,0:57.502,0:06.671
R6,3-2,0:57.502,1:06.365,0:08.863
R7,3-3,1:06.365,1:16.333,0:09.968
R8,3-4,1:16.333,1:30.424,0:14.090
R9,4-1,1:30.424,1:44.490,0:14.066
R10,4-2,1:44.490,1:56.267,0:11.776
R11,5-1,1:56.267,2:05.638,0:09.371
R12,5-2,2:05.638,2:15.215,0:09.577
R13,6-1,2:15.215,2:24.678,0:09.462
R14,6-2,2:24.678,2:27.185,0:02.507
