#,Name,Start,End,Length
M1,Il y sera,0:07.050,,
M2,Chez nous,0:36.879,,
M3,Il faut rester,1:28.045,,
M4,Sur la place,2:14.083,,
R1,1-1,0:00.000,0:04.978,0:04.978
R2,1-2,0:04.978,0:09.218,0:04.240
R3,1-3,0:09.218,0:13.658,0:04.440
R4,2-1,0:13.658,0:17.874,0:04.216
R5,2-2,0:17.874,0:23.042,0:05.168
R6,2-3,0:23.042,0:28.274,0:05.232
R7,2-4,0:28.274,0:38.698,0:10.424
R8,3-1,0:38.698,0:44.426,0:05.728
R9,3-2,0:44.426,0:51.881,0:07.454
R10,3-3,0:51.881,0:58.809,0:06.928
R11,3-4,0:58.809,1:10.187,0:11.378
R12,4-1,1:10.187,1:16.937,0:06.749
R13,4-2,1:16.937,1:22.537,0:05.600
R14,4-3,1:22.537,1:26.953,0:04.416
R15,4-4,1:26.953,1:32.516,0:05.562
R16,5-1,1:32.516,1:38.058,0:05.542
R17,5-2,1:38.058,1:41.177,0:03.118
R18,6-1,1:41.177,1:45.282,0:04.105
R19,6-2,1:45.282,1:50.729,0:05.446
R20,6-3,1:50.729,1:55.094,0:04.365
R21,7-1,1:55.094,2:01.406,0:06.312
R22,7-2,2:01.406,2:09.094,0:07.688
R23,7-3,2:09.094,2:16.576,0:07.482
R24,7-4,2:16.576,2:21.589,0:05.013
R25,7-5,2:21.589,2:26.284,0:04.695
R26,8-1,2:26.284,2:31.012,0:04.728
R27,8-2,2:31.012,2:35.702,0:04.689
R28,8-3,2:35.702,2:42.865,0:07.162
