#,Name,Start,End,Length
R1,1-1,0:00.000,0:07.327,0:07.327
R2,1-2,0:07.327,0:16.319,0:08.992
R3,1-3,0:16.319,0:25.296,0:08.977
R4,1-4,0:25.296,0:34.094,0:08.797
R5,2-1,0:34.094,0:39.556,0:05.462
R6,2-2,0:39.556,0:46.708,0:07.152
R7,2-3,0:46.708,0:52.212,0:05.504
R8,3-1,0:52.212,0:57.588,0:05.376
R9,3-2,0:57.588,1:02.980,0:05.392
R10,3-3,1:02.980,1:08.500,0:05.520
R11,4-1,1:08.500,1:13.940,0:05.440
R12,4-2,1:13.940,1:19.508,0:05.568
R13,5-1,1:19.508,1:24.996,0:05.488
R14,5-2,1:24.996,1:30.547,0:05.550
R15,6-1,1:30.547,1:34.068,0:03.521
R21,6-2,1:34.068,1:35.988,0:01.920
R16,7-1,1:35.988,1:41.650,0:05.661
R17,7-2,1:41.650,1:47.296,0:05.646
R18,7-3,1:47.296,1:53.010,0:05.713
R19,7-4,1:53.010,1:55.704,0:02.694
R20,8-1,1:55.704,2:03.333,0:07.629
