#,Name,Start,End,Length
R1,1-1,0:00.000,0:02.583,0:02.583
R2,1-2,0:02.583,0:13.684,0:11.101
R3,1-3,0:13.684,0:17.686,0:04.001
R4,2-1,0:17.686,0:22.629,0:04.943
R5,2-2,0:22.629,0:28.405,0:05.776
R6,2-3,0:28.405,0:32.402,0:03.997
R7,2-4,0:32.402,0:37.335,0:04.933
R8,3-1,0:37.335,0:42.611,0:05.275
R9,3-2,0:42.611,0:50.062,0:07.451
R10,3-3,0:50.062,0:54.702,0:04.640
R11,3-4,0:54.702,1:01.182,0:06.480
R12,4-1,1:01.182,1:07.117,0:05.934
R13,4-2,1:07.117,1:12.516,0:05.399
R14,4-3,1:12.516,1:15.940,0:03.424
R15,4-4,1:15.940,1:19.334,0:03.393
R16,5-1,1:19.334,1:22.662,0:03.328
R17,5-2,1:22.662,1:27.590,0:04.928
R18,5-3,1:27.590,1:32.406,0:04.816
R19,6-1,1:32.406,1:35.478,0:03.072
R20,6-2,1:35.478,1:38.647,0:03.169
R21,7-1,1:38.647,1:42.966,0:04.318
R22,7-2,1:42.966,1:48.550,0:05.584
R23,7-3,1:48.550,1:54.119,0:05.569
R24,8-1,1:54.119,1:59.750,0:05.630
R25,8-2,1:59.750,2:07.030,0:07.280
R26,8-3,2:07.030,2:12.854,0:05.824
R27,9-1,2:12.854,2:20.182,0:07.328
R28,9-2,2:20.182,2:27.498,0:07.316
R29,9-3,2:27.498,2:33.392,0:05.894
R30,10-1,2:33.392,2:39.248,0:05.856
R31,10-2,2:39.248,2:43.664,0:04.416
R32,10-3,2:43.664,2:48.048,0:04.384
R33,10-4,2:48.048,2:52.448,0:04.400
R34,11-1,2:52.448,2:55.360,0:02.912
R35,11-2,2:55.360,2:58.224,0:02.864
R36,12-1,2:58.224,3:01.168,0:02.944
R37,12-2,3:01.168,3:04.112,0:02.944
R38,13-1,3:04.112,3:07.104,0:02.992
R39,13-2,3:07.104,3:10.032,0:02.928
R40,14-1,3:10.032,3:13.056,0:03.024
R41,14-2,3:13.056,3:19.257,0:06.201
R42,15-1,3:19.257,3:27.131,0:07.873
R43,15-2,3:27.131,3:29.465,0:02.334
R44,15-3,3:29.465,3:31.897,0:02.432
R45,15-4,3:31.897,3:33.100,0:01.202
R46,16-1,3:33.100,3:34.341,0:01.240
R47,16-2,3:34.341,3:38.442,0:04.101
R48,16-3,3:38.442,3:40.861,0:02.418
