#,Name,Start,End,Length
R1,1-1,0:00.000,0:10.663,0:10.663
R2,1-2,0:10.663,0:21.346,0:10.682
R3,1-3,0:21.346,0:31.450,0:10.104
R4,2-1,0:31.450,0:38.699,0:07.248
R5,2-2,0:38.699,0:45.971,0:07.272
R6,2-3,0:45.971,0:51.468,0:05.496
