#,Name,Start,End,Length
M1,La Manuelita disait,0:33.765,,
M2,C'est la Carmencita,1:25.600,,
M3,,2:41.389,,
R1,1-1,0:00.000,0:03.885,0:03.885
R2,1-2,0:03.885,0:06.299,0:02.413
R3,2-1,0:06.299,0:09.718,0:03.419
R4,2-2,0:09.718,0:13.042,0:03.324
R5,2-3,0:13.042,0:16.256,0:03.213
R6,2-4,0:16.256,0:19.434,0:03.177
R7,3-1,0:19.434,0:21.954,0:02.520
R8,3-2,0:21.954,0:24.492,0:02.537
R9,3-3,0:24.492,0:27.904,0:03.412
R10,3-4,0:27.904,0:30.459,0:02.554
R11,4-1,0:30.459,0:33.765,0:03.306
R12,4-2,0:33.765,0:36.198,0:02.432
R13,4-3,0:36.198,0:38.719,0:02.520
R14,4-4,0:38.719,0:41.302,0:02.583
R15,4-5,0:41.302,0:43.723,0:02.421
R16,5-1,0:43.723,0:46.222,0:02.499
R17,5-2,0:46.222,0:49.527,0:03.304
R18,5-3,0:49.527,0:52.080,0:02.553
R19,5-4,0:52.080,0:54.628,0:02.548
R20,5-5,0:54.628,0:57.967,0:03.339
R21,6-1,0:57.967,1:01.438,0:03.470
R22,6-2,1:01.438,1:04.769,0:03.331
R23,6-3,1:04.769,1:08.481,0:03.712
R24,6-4,1:08.481,1:12.476,0:03.994
R25,7-1,1:12.476,1:16.192,0:03.716
R26,7-2,1:16.192,1:20.109,0:03.916
R27,7-3,1:20.109,1:25.600,0:05.490
R28,7-4,1:25.600,1:28.072,0:02.471
R29,7-5,1:28.072,1:30.548,0:02.476
R30,8-1,1:30.548,1:33.105,0:02.557
R31,8-2,1:33.105,1:35.693,0:02.588
R32,8-3,1:35.693,1:39.276,0:03.582
R33,9-1,1:39.276,1:41.884,0:02.607
R34,9-2,1:41.884,1:45.386,0:03.502
R35,9-3,1:45.386,1:48.075,0:02.688
R36,9-4,1:48.075,1:51.501,0:03.425
R37,10-1,1:51.501,2:43.825,0:52.324
R38,10-2,2:43.825,2:47.848,0:04.023
R39,10-3,2:47.848,2:51.120,0:03.272
R40,10-4,2:51.120,2:54.386,0:03.265
R41,11-1,2:54.386,2:58.566,0:04.180
R42,11-2,2:58.566,3:02.617,0:04.050
R43,11-3,3:02.617,3:06.812,0:04.194
R44,11-4,3:06.812,3:14.725,0:07.912
