#,Name,Start,End,Length
R0,1-1,0:00.000,0:06.796,0:06.796
R1,1-2,0:06.796,0:13.839,0:07.043
R2,1-3,0:13.839,0:20.569,0:06.729
R3,1-4,0:20.569,0:27.577,0:07.008
R4,2-1,0:27.577,0:34.238,0:06.660
R5,2-2,0:34.238,0:40.773,0:06.534
R6,2-3,0:40.773,0:44.932,0:04.158
R7,2-4,0:44.932,0:49.109,0:04.177
R8,3-1,0:49.109,0:53.324,0:04.215
R9,3-2,0:53.324,0:58.277,0:04.953
R10,3-3,0:58.277,1:02.702,0:04.424
R11,3-4,1:02.702,1:07.133,0:04.431
R12,4-1,1:07.133,1:11.746,0:04.612
R13,4-2,1:11.746,1:16.235,0:04.489
R14,4-3,1:16.235,1:20.926,0:04.690
R15,4-4,1:20.926,1:25.511,0:04.584
R16,5-1,1:25.511,1:30.167,0:04.656
R17,5-2,1:30.167,1:35.911,0:05.743
R18,5-3,1:35.911,1:43.254,0:07.342
R19,6-1,1:43.254,1:48.701,0:05.447
R20,6-2,1:48.701,1:56.354,0:07.652
R21,6-3,1:56.354,2:02.040,0:05.685
R22,6-4,2:02.040,2:10.557,0:08.517
R23,7-1,2:10.557,2:17.291,0:06.733
R24,7-2,2:17.291,2:24.007,0:06.715
R25,7-3,2:24.007,2:31.301,0:07.294
R26,8-1,2:31.301,2:38.446,0:07.144
R27,8-2,2:38.446,2:43.307,0:04.861
R28,9-1,2:43.307,2:48.196,0:04.888
R29,9-2,2:48.196,2:56.451,0:08.255
