#,Name,Start,End,Length
R1,1-1,0:00.000,0:19.403,0:19.403
R2,1-2,0:19.403,0:33.766,0:14.362
R3,1-3,0:33.766,0:46.792,0:13.026
R4,1-4,0:46.792,0:58.443,0:11.650
R5,1-5,0:58.443,1:18.436,0:19.992
