#,Name,Start,End,Length
R1,1-1,0:00.000,0:07.482,0:07.482
M1,2nd line,0:07.200,,
R2,1-2,0:07.482,0:14.894,0:07.412
R3,1-1,0:14.894,0:22.475,0:07.581
M2,repeat,0:14.894,,
M3,2nd line,0:22.200,,
R4,1-2,0:22.475,0:30.488,0:08.012
