#,Name,Start,End,Length
R1,1-1,0:00.000,0:04.681,0:04.681
R2,2-1,0:04.681,0:12.560,0:07.878
R3,2-2,0:12.560,0:22.455,0:09.895
R4,3-1,0:22.455,0:34.766,0:12.310
